Name (club),Location,Time Signup/Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Pre-signup,on site signup,requiements / info (dates if specific) ,Wheelchair accessible,Age requirement,set time/rules,Price for Time,Open mic type,Email,Parking,Phone,Web/signup
Kitchen Sink,"2322 2nd Ave, Seattle, WA 98121",/7:30pm,no,no,Yes,no,no,no,no,yes,yes,List posted Wednesday morning,yes,,"3(comedy), 5 other/ do not punch down",Free,Anything is allowed ,https://instagram.com/kitchensinkmic?igshid=MWZjMTM2ODFkZg==,on street,,https://docs.google.com/forms/d/e/1FAIpQLSf5KBEn7mllWB1L7FeNnmhk5nmqCB1mc84F-BKGsh75X8vzbg/viewform
Draft choice,"32201 Kent Black Diamond Rd SE , Auburn, WA 98092",/8pm,no,no,REQ. ->,no,no,no,no,,,Last Wed. ,,,,,,,,,
Flight path,"1832 S 120th St, Burien, WA 98168",8/8:30pm-10pm,no,no,Yes,no,no,no,no,no,yes,,yes,,5/,Free,Only Comedy,,on site,,
Blue Curtain comedy,"9030 Martin Way E, Olympia, WA 98516",7pm/8pm,no,no,Yes,no,no,no,no,yes,yes,Message blue curtain comedy on instagram or FB,,,,,Anything is allowed,,,,
Remedy speakeasy,"602 4th St, Bremerton, WA 98337",8:30pm/9pm,no,no,Yes,no,no,no,no,,yes,,yes,21+,3/,Free,,,,,
Wig Wam,"3548 W Belfair Valley Rd, Bremerton, WA 98312",6:30pm/7pm,no,no,Yes,no,no,no,no,,yes,,,21+,,,,,,,
McFiler's Chehalis Theater,"543 NW Pacific Ave, Chehalis, WA 98532",/8pm,no,no,Yes,no,no,no,no,,,,,,,,,,,,
Shanahan’s Pub,"209 W McLoughlin Blvd. Vancouver, WA 98660",/8pm,no,no,Yes,no,no,no,no,yes,yes,,,,,,,https://www.instagram.com/k_hossom/,,,
Sam's Mic,"11848 98th Ave NE, Kirkland, WA 98034",8pm/9pm,no,no,no,Yes,no,no,no,no,yes,,yes,21+,,Free,Only Comedy ,,on site,,
The Whit's End,"6510 Phinney Ave N, Seattle, WA 98103",/8pm,no,no,no,REQ. ->,no,no,no,no,yes,"2nd, 4th Thu. of every month",yes,,,Free,Anything is allowed ,helenbseattle@gmail.com,on street,,
Neighbors,"1509 Broadway, Seattle, WA 98122",9pm/,no,no,no,Yes,no,no,no,yes,yes,"Competition Cash prize for 1st place $100 and 2nd place $50, 3rd place get $25 tab",,21+,,Free,anything is allowed,,,,
Cheat Day,"2322 2nd Ave, Seattle, WA 98121",6:30pm/7pm,no,no,no,Yes,no,no,no,,yes,,yes,,5/,Free,Improv Comedy,,on street,,https://www.facebook.com/events/1404587630068721/1404587643402053/
The 884 pub,"757 S National Ave, Bremerton, WA 98312",/7pm-9pm,no,no,no,Sep.,no,no,no,no,yes,,no,21+,5-8/,Free,Only Comedy ,,on street,,
North End,"5037 N Pearl St, Ruston, WA 98407",/8pm,,,no,REQ. ->,no,no,no,,,Last Thurs.,,,,,,,,,
Bobs comedy jive,"2102 S Tacoma Way, Tacoma, WA 98409",/8:30pm,no,no,no,Yes,no,no,no,yes,,send email on Tue.,yes,21+,4/ do not punch down,Free,Only Comedy,bobscomedyjive@gmail.com,on site,(253) 475-9843,
Doomsday Brewing,"1919 Main St, Vancouver, WA 98660",/6-9pm,no,no,no,Yes,no,no,no,yes,,Message between 12-5pm for spot,,,,,,,,,https://www.instagram.com/ru6y_r/
Beach Cat Brewing,"7876 Birch Bay Dr #101, Blaine, WA 98230",7:30pm/8pm,no,no,no,no,REQ. ->,no,no,,,1st Fri.,,,,,,,,,
Inner Visions,"4548 University Way NE, Seattle, WA 98105",6:30pm/7pm,no,no,no,no,REQ. ->,no,no,,yes,1st Fri.,yes,all ages,10/ do not punch down,,Anything is allowed,,on street,,
Bickersons Brewhouse,"1514 NW Leary Wy, Seattle, WA 98107",5:30pm/6pm,no,no,no,no,Yes,no,no,no,yes,,,,,,Anything is allowed,,on street,,
Dog days brewing,"260 4th st, Bremerton, WA 98337",6:30pm/7pm,no,no,no,no,Yes,no,no,no,yes,,no,21+,4/,Free,Only Comedy ,,,(360)-627-9925,
Everett Improv,"2610 Colby Ave Units A-B, Everett, WA 98201",5pm/5:30pm,no,no,no,no,no,REQ. ->,no,,yes,Last Sat.,,,/ do not punch down,Free,Anything is allowed,,on street,,
Geeky comedy seattle,"1313 4th Ave, Seattle, WA 98119",4:45pm/5pm,no,no,no,no,no,REQ. ->,no,no,yes,"1st Sat., ""geeky"" material focus",yes,all ages,5/ do not punch,Free,Only Comedy,,on street,,
Inside,,/7:30pm,no,no,no,no,no,REQ. ->,no,,,2nd Sat.,yes,21+,5/ do not punch down,Free,Anything is allowed,,on street,,
Naked brunch,"2322 2nd Ave, Seattle, WA 98121",5pm/5:30pm,no,no,no,no,no,Yes,no,no,yes,,no,,5+/,Free,Improv Comedy,,on street,,
St. Andrews Pub,"7406 Aurora Ave N, Seattle, WA 98103",/8pm,no,no,no,no,no,no,Yes,Yes,(Bucket list),,,21+,,Free,Only Comedy,,,,https://docs.google.com/forms/d/e/1FAIpQLScmwRabJJfYwK8w6khDG4iWW_n0DIYg2Ovvv4lhvjFb-SgcrA/viewform
Off the top,"3509 Fremont Ave N, Seattle, WA 98103",/8pm,no,no,no,no,no,no,Yes,Yes,yes,,,,,Free,Improv Comedy,,on street,,
Four Horsemen Brewery,"30221 148th Ave SE, Kent, WA 98042",/12pm-5pm,no,no,no,no,no,no,Yes,,,,,,,,Anything is allowed,,,,
